date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:58:48	84291/84291	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:47%20GMT	https://www.thehealthsite.com/marathi/topics/krishna-janmashatmi-2021/	C:/heath/heath/www.thehealthsite.com/marathi/topics/krishna-janmashatmi-2021/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:48	76727/76727	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:48%20GMT	https://www.thehealthsite.com/marathi/videos/thehealthsite-com-summit-2021-covid-19-resurgence-in-marathi-828718/	C:/heath/heath/www.thehealthsite.com/marathi/videos/thehealthsite-com-summit-2021-covid-19-resurgence-in-marathi-828718/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:49	84213/84213	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:48%20GMT	https://www.thehealthsite.com/marathi/topics/bariatric-surgery/	C:/heath/heath/www.thehealthsite.com/marathi/topics/bariatric-surgery/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:50	79790/79790	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:49%20GMT	https://www.thehealthsite.com/marathi/pregnancy/bollywood-actress-kareena-kapoor-launches-her-book-pregnancy-bible-talks-about-pregnancy-journey-in-marathi-825311/	C:/heath/heath/www.thehealthsite.com/marathi/pregnancy/bollywood-actress-kareena-kapoor-launches-her-book-pregnancy-bible-talks-about-pregnancy-journey-in-marathi-825311/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:50	119347/119347	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:49%20GMT	https://www.thehealthsite.com/marathi/latest-articles/	C:/heath/heath/www.thehealthsite.com/marathi/latest-articles/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:51	151965/151965	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:50%20GMT	https://www.thehealthsite.com/marathi/topics/corona/	C:/heath/heath/www.thehealthsite.com/marathi/topics/corona/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:51	77009/77009	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:50%20GMT	https://www.thehealthsite.com/marathi/news/benefits-of-neem-leaves-neem-leaves-benefits-for-health-immune-system-will-be-stronger-822563/	C:/heath/heath/www.thehealthsite.com/marathi/news/benefits-of-neem-leaves-neem-leaves-benefits-for-health-immune-system-will-be-stronger-822563/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:52	72130/72130	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:51%20GMT	https://www.thehealthsite.com/marathi/news/covid-19-recovery-tips-follow-these-steps-to-get-rid-of-weakness-what-to-eat-what-not-to-eat-after-covid-infection-817163/	C:/heath/heath/www.thehealthsite.com/marathi/news/covid-19-recovery-tips-follow-these-steps-to-get-rid-of-weakness-what-to-eat-what-not-to-eat-after-covid-infection-817163/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:53	84157/84157	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:52%20GMT	https://www.thehealthsite.com/marathi/topics/arogya-tips/	C:/heath/heath/www.thehealthsite.com/marathi/topics/arogya-tips/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:53	72856/72856	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:52%20GMT	https://www.thehealthsite.com/marathi/news/world-no-tobacco-day-2021-how-you-can-quit-smoking-in-10-minits-know-tobacco-side-effects-on-body-816705/	C:/heath/heath/www.thehealthsite.com/marathi/news/world-no-tobacco-day-2021-how-you-can-quit-smoking-in-10-minits-know-tobacco-side-effects-on-body-816705/index.html	(from https://www.thehealthsite.com/marathi/)
